Date,Time,BPM
2020-06-24,22:45:12,77
2020-06-24,22:45:13,72
2020-06-24,22:45:14,69
2020-06-24,22:45:15,74
2020-06-24,22:45:16,70
2020-06-25,17:58:03,88
2020-06-25,17:58:06,78
2020-06-25,17:58:06,83
2020-06-25,17:58:22,80
2020-06-25,17:58:23,77
2020-06-25,17:58:23,77
2020-06-25,17:58:27,93
2020-06-25,17:58:32,80
2020-06-25,17:58:33,83
2020-06-25,17:58:33,87
2020-06-25,17:58:34,85
2020-06-25,17:58:35,83
2020-06-25,17:58:35,86
2020-06-25,17:58:36,88
2020-06-25,17:58:37,89
2020-06-25,17:58:37,91
2020-06-25,17:58:38,92
2020-06-25,17:58:39,89
2020-06-25,17:58:40,83
2020-06-25,17:58:40,76
2020-06-25,17:58:41,73
2020-06-25,17:58:42,73
2020-06-25,17:58:43,74
2020-06-25,17:58:44,76
2020-06-25,17:58:44,82
2020-06-25,17:58:45,88
2020-06-25,17:58:46,91
2020-06-25,17:58:46,89
2020-06-25,17:58:47,86
2020-06-25,17:58:48,83
2020-06-25,17:58:48,85
2020-06-25,17:58:49,89
2020-06-25,18:13:09,75
2020-06-25,18:13:10,78
2020-06-25,18:13:12,84
2020-06-25,18:13:17,79
2020-06-25,18:13:17,75
2020-06-25,18:13:18,75
2020-06-25,18:13:19,74
2020-06-25,18:13:20,73
2020-06-25,18:13:21,80
2020-06-25,18:13:21,84
2020-06-25,18:13:22,80
2020-06-25,18:13:23,75
2020-06-25,18:13:24,71
2020-06-25,18:13:24,80
2020-06-25,18:13:25,78
2020-06-25,18:13:26,81
2020-06-25,18:13:27,81
2020-06-25,18:13:27,84
2020-06-26,22:17:29,74
2020-06-26,22:17:30,78
2020-06-26,22:17:30,80
2020-06-26,22:17:31,73
2020-06-26,22:17:32,70
2020-06-26,22:17:33,71
2020-06-26,22:17:34,75
2020-06-26,22:17:34,75
2020-06-26,22:17:35,71
2020-06-26,22:17:36,75
2020-06-26,22:17:37,76
2020-06-26,22:17:38,76
2020-06-26,22:17:38,75
2020-06-26,22:17:39,75
2020-06-26,22:17:40,73
2020-06-26,22:17:41,70
2020-06-26,22:17:42,67
2020-06-26,22:17:43,73
2020-06-27,20:59:20,80
2020-06-27,20:59:21,75
2020-06-27,20:59:21,70
2020-06-27,20:59:22,76
2020-06-27,20:59:23,89
2020-06-27,20:59:24,80
2020-06-27,20:59:24,86
2020-06-27,20:59:25,85
2020-06-27,20:59:38,88
2020-06-27,20:59:38,88
2020-06-27,20:59:39,88
2020-06-27,20:59:40,94
2020-06-27,20:59:40,93
2020-06-27,20:59:41,94
2020-06-27,20:59:42,93
2020-06-27,20:59:42,86
2020-06-27,20:59:43,86
2020-06-27,20:59:45,93
2020-06-27,20:59:46,94
2020-06-27,20:59:52,93
2020-06-27,20:59:52,95
2020-06-27,20:59:53,95
2020-06-27,20:59:54,100
2020-06-27,20:59:54,95
2020-06-27,20:59:55,94
2020-06-27,20:59:56,81
2020-06-27,20:59:56,80
2020-06-27,20:59:58,95
2020-06-27,21:00:00,99
2020-06-27,21:00:01,97
2020-06-27,21:00:02,91
2020-06-27,21:00:02,87
2020-06-27,21:00:03,75
2020-06-27,21:00:04,81
2020-06-27,21:00:05,85
2020-06-27,21:00:05,79
2020-06-27,21:00:06,83
2020-06-27,21:00:07,78
2020-06-27,21:00:08,76
2020-06-27,21:00:08,83
2020-06-27,21:00:10,86
2020-06-27,21:00:11,88
2020-06-27,21:00:12,88
2020-06-27,21:00:12,86
2020-06-27,21:00:13,86
2020-06-27,21:18:16,81
2020-06-27,21:18:17,84
2020-06-27,21:18:18,83
2020-06-27,21:18:23,79
2020-06-27,21:18:24,77
2020-06-27,21:18:24,79
2020-06-27,21:18:25,84
2020-06-27,21:18:26,85
2020-06-27,21:18:27,86
2020-06-27,21:18:27,86
2020-06-27,21:18:28,84
2020-06-27,21:18:29,78
2020-06-27,21:18:30,72
2020-06-27,21:18:30,76
2020-06-27,21:18:31,80
2020-06-27,21:18:32,87
2020-06-27,21:18:33,89
2020-06-27,21:18:33,92
2020-06-27,21:18:34,94
2020-06-27,21:18:34,92
2020-06-27,21:18:35,91
2020-06-27,21:18:36,87
2020-06-27,21:18:37,81
2020-06-27,21:18:37,77
2020-06-27,21:18:38,79
2020-06-27,21:18:39,84
2020-06-27,21:18:41,82
2020-06-27,21:18:42,83
